,best_offset,best_res,sec_best_res
10ab4d35ee1d484f8da57199ff9f5696,0.0,0.36072253157680295,0.6179999094571959
10d30b8028bd4e8fbeb285714fb4c513,-11.0,0.3274282223579719,0.5615807527841736
10d8ed11d56248e09e2469123c0685b1,-12.0,0.5131549359118507,0.6414998875646504
10f704da85ba4970baa59e6bf41107d6,-12.0,0.4027926481084939,0.4839846538187009
110030a28bc14d55887814f2107e7a1e,-12.0,0.3661455788959453,0.5230825598436737
11178e8d19c04f7dbe559003f8758515,0.0,0.30947453844593226,0.37865692838303916
111855a67ff841e58eb305f11642c2d3,-12.0,0.4353700943864878,0.6611028315946349
111eeff2073540cdb65b659054f0e6f5,-12.0,0.5671397071295302,0.6819698083338045
111f0bb310eb4e22a2beb8d014365374,-8.0,0.7436491748562952,0.746523270906731
112d8cac9ce0470f9b08e1ae5fb900eb,0.0,0.2519080282098348,0.4010723601584388
1144464c3bfc45e4b3c30fdb03310366,0.0,0.4416122283420862,0.5378933435805474
115cb963de994aea9a3fc0e06d424703,0.0,0.5757410040468117,0.7331291698567209
116ab5ac1cd44da5b51671a7b03aa9a7,0.0,0.4986052220486499,0.5164583798259317
118e9b7e899b41a3812e04428c6857c4,-5.0,0.2241277885877189,0.24512421376532875
119ea0fc0f2545a1ad3ec5baf83e9b6f,0.0,0.305578598092078,0.3976047283284944
11a0f31e81094120bf8439c597b6c7d8,0.0,0.47064471879286696,0.5411522633744856
11a3007c14fb47d38a6d2a93008608e9,0.0,0.3243865030674847,0.4782836029001673
11a68306b797456fbf846c76ca58a809,-12.0,0.3276300119094879,0.4878523223501389
11b087b00fdb4c8eb08a5204e7a835a2,0.0,0.44318225282080703,0.45894052400076496
11bc92565b60480d9797e4638dee5281,-12.0,0.4987516455581279,0.5163647918652685
11c7c693bce64765894d53e54b6931e5,0.0,0.3513380127220882,0.6335270892739636
120020aae6aa4ec9a117aa594691d56f,-12.0,0.4092646313947599,0.5911497904867155
120470d925f14df3b8adb328e0dd1350,-12.0,0.3661024425208138,0.47185311793571155
1225e58b5ddd4b8e88889f5c60ee2597,0.0,0.26697226412904723,0.3224440060345828
1242209f766d4c4dba3dcf5c6a7d1c77,0.0,0.6077019884218474,0.715227787566071
1253bf484af94301a49204cc7fd84a9d,-12.0,0.3807193314557459,0.5985040860612216
